Algoritm,N,Tip_Date,Secunde_Medie
BubbleSort,10,random,0.00000150
InsertionSort,10,random,0.00000077
SelectionSort,10,random,0.00000124
MergeSort,10,random,0.00000240
QuickSort,10,random,0.00000513
BubbleSort,10,sorted,0.00000032
InsertionSort,10,sorted,0.00000035
SelectionSort,10,sorted,0.00000125
MergeSort,10,sorted,0.00000234
QuickSort,10,sorted,0.00000579
BubbleSort,10,reverse_sorted,0.00000220
InsertionSort,10,reverse_sorted,0.00000157
SelectionSort,10,reverse_sorted,0.00000133
MergeSort,10,reverse_sorted,0.00000261
QuickSort,10,reverse_sorted,0.00000653
BubbleSort,10,nearly_sorted,0.00000083
InsertionSort,10,nearly_sorted,0.00000058
SelectionSort,10,nearly_sorted,0.00000118
MergeSort,10,nearly_sorted,0.00000285
QuickSort,10,nearly_sorted,0.00000524
BubbleSort,10,flat,0.00000137
InsertionSort,10,flat,0.00000097
SelectionSort,10,flat,0.00000139
MergeSort,10,flat,0.00000259
QuickSort,10,flat,0.00001134
BubbleSort,20,random,0.00000848
InsertionSort,20,random,0.00000282
SelectionSort,20,random,0.00000411
MergeSort,20,random,0.00000435
QuickSort,20,random,0.00000908
BubbleSort,20,sorted,0.00000047
InsertionSort,20,sorted,0.00000052
SelectionSort,20,sorted,0.00000351
MergeSort,20,sorted,0.00000358
QuickSort,20,sorted,0.00001057
BubbleSort,20,reverse_sorted,0.00000718
InsertionSort,20,reverse_sorted,0.00000531
SelectionSort,20,reverse_sorted,0.00000305
MergeSort,20,reverse_sorted,0.00000359
QuickSort,20,reverse_sorted,0.00000846
BubbleSort,20,nearly_sorted,0.00000221
InsertionSort,20,nearly_sorted,0.00000069
SelectionSort,20,nearly_sorted,0.00000395
MergeSort,20,nearly_sorted,0.00000398
QuickSort,20,nearly_sorted,0.00000864
BubbleSort,20,flat,0.00000513
InsertionSort,20,flat,0.00000249
SelectionSort,20,flat,0.00000356
MergeSort,20,flat,0.00000329
QuickSort,20,flat,0.00000640
BubbleSort,50,random,0.00003030
InsertionSort,50,random,0.00001771
SelectionSort,50,random,0.00002378
MergeSort,50,random,0.00001604
QuickSort,50,random,0.00002235
BubbleSort,50,sorted,0.00000124
InsertionSort,50,sorted,0.00000124
SelectionSort,50,sorted,0.00001908
MergeSort,50,sorted,0.00000794
QuickSort,50,sorted,0.00002436
BubbleSort,50,reverse_sorted,0.00004349
InsertionSort,50,reverse_sorted,0.00002695
SelectionSort,50,reverse_sorted,0.00001627
MergeSort,50,reverse_sorted,0.00001014
QuickSort,50,reverse_sorted,0.00002109
BubbleSort,50,nearly_sorted,0.00001210
InsertionSort,50,nearly_sorted,0.00000257
SelectionSort,50,nearly_sorted,0.00001941
MergeSort,50,nearly_sorted,0.00000981
QuickSort,50,nearly_sorted,0.00001930
BubbleSort,50,flat,0.00003210
InsertionSort,50,flat,0.00001281
SelectionSort,50,flat,0.00001569
MergeSort,50,flat,0.00000993
QuickSort,50,flat,0.00001040
BubbleSort,100,random,0.00011504
InsertionSort,100,random,0.00004815
SelectionSort,100,random,0.00006725
MergeSort,100,random,0.00001973
QuickSort,100,random,0.00003438
BubbleSort,100,sorted,0.00000111
