Algoritm,N,Tip_Date,Memorie_Extra_Bytes,Memorie_Extra_Lizibil
BubbleSort,10,random,12,12 B
InsertionSort,10,random,12,12 B
SelectionSort,10,random,12,12 B
MergeSort,10,random,40,40 B
QuickSort,10,random,24,24 B
BubbleSort,10,sorted,12,12 B
InsertionSort,10,sorted,12,12 B
SelectionSort,10,sorted,12,12 B
MergeSort,10,sorted,40,40 B
QuickSort,10,sorted,24,24 B
BubbleSort,10,reverse_sorted,12,12 B
InsertionSort,10,reverse_sorted,12,12 B
SelectionSort,10,reverse_sorted,12,12 B
MergeSort,10,reverse_sorted,40,40 B
QuickSort,10,reverse_sorted,24,24 B
BubbleSort,10,nearly_sorted,12,12 B
InsertionSort,10,nearly_sorted,12,12 B
SelectionSort,10,nearly_sorted,12,12 B
MergeSort,10,nearly_sorted,40,40 B
QuickSort,10,nearly_sorted,24,24 B
BubbleSort,10,flat,12,12 B
InsertionSort,10,flat,12,12 B
SelectionSort,10,flat,12,12 B
MergeSort,10,flat,40,40 B
QuickSort,10,flat,24,24 B
BubbleSort,20,random,12,12 B
InsertionSort,20,random,12,12 B
SelectionSort,20,random,12,12 B
MergeSort,20,random,80,80 B
QuickSort,20,random,32,32 B
BubbleSort,20,sorted,12,12 B
InsertionSort,20,sorted,12,12 B
SelectionSort,20,sorted,12,12 B
MergeSort,20,sorted,80,80 B
QuickSort,20,sorted,32,32 B
BubbleSort,20,reverse_sorted,12,12 B
InsertionSort,20,reverse_sorted,12,12 B
SelectionSort,20,reverse_sorted,12,12 B
MergeSort,20,reverse_sorted,80,80 B
QuickSort,20,reverse_sorted,32,32 B
BubbleSort,20,nearly_sorted,12,12 B
InsertionSort,20,nearly_sorted,12,12 B
SelectionSort,20,nearly_sorted,12,12 B
MergeSort,20,nearly_sorted,80,80 B
QuickSort,20,nearly_sorted,32,32 B
BubbleSort,20,flat,12,12 B
InsertionSort,20,flat,12,12 B
SelectionSort,20,flat,12,12 B
MergeSort,20,flat,80,80 B
QuickSort,20,flat,32,32 B
BubbleSort,50,random,12,12 B
InsertionSort,50,random,12,12 B
SelectionSort,50,random,12,12 B
MergeSort,50,random,200,200 B
QuickSort,50,random,40,40 B
BubbleSort,50,sorted,12,12 B
InsertionSort,50,sorted,12,12 B
SelectionSort,50,sorted,12,12 B
MergeSort,50,sorted,200,200 B
QuickSort,50,sorted,40,40 B
BubbleSort,50,reverse_sorted,12,12 B
InsertionSort,50,reverse_sorted,12,12 B
SelectionSort,50,reverse_sorted,12,12 B
MergeSort,50,reverse_sorted,200,200 B
QuickSort,50,reverse_sorted,40,40 B
BubbleSort,50,nearly_sorted,12,12 B
InsertionSort,50,nearly_sorted,12,12 B
SelectionSort,50,nearly_sorted,12,12 B
MergeSort,50,nearly_sorted,200,200 B
QuickSort,50,nearly_sorted,40,40 B
BubbleSort,50,flat,12,12 B
InsertionSort,50,flat,12,12 B
SelectionSort,50,flat,12,12 B
MergeSort,50,flat,200,200 B
QuickSort,50,flat,40,40 B
BubbleSort,100,random,12,12 B
InsertionSort,100,random,12,12 B
SelectionSort,100,random,12,12 B
MergeSort,100,random,400,400 B
QuickSort,100,random,48,48 B
BubbleSort,100,sorted,12,12 B
InsertionSort,100,sorted,12,12 B
SelectionSort,100,sorted,12,12 B
MergeSort,100,sorted,400,400 B
QuickSort,100,sorted,48,48 B
BubbleSort,100,reverse_sorted,12,12 B
InsertionSort,100,reverse_sorted,12,12 B
SelectionSort,100,reverse_sorted,12,12 B
MergeSort,100,reverse_sorted,400,400 B
QuickSort,100,reverse_sorted,48,48 B
BubbleSort,100,nearly_sorted,12,12 B
InsertionSort,100,nearly_sorted,12,12 B
SelectionSort,100,nearly_sorted,12,12 B
MergeSort,100,nearly_sorted,400,400 B
QuickSort,100,nearly_sorted,48,48 B
BubbleSort,100,flat,12,12 B
InsertionSort,100,flat,12,12 B
SelectionSort,100,flat,12,12 B
MergeSort,100,flat,400,400 B
QuickSort,100,flat,48,48 B
BubbleSort,500,random,12,12 B
InsertionSort,500,random,12,12 B
SelectionSort,500,random,12,12 B
MergeSort,500,random,2000,1 KB
QuickSort,500,random,64,64 B
BubbleSort,500,sorted,12,12 B
InsertionSort,500,sorted,12,12 B
SelectionSort,500,sorted,12,12 B
MergeSort,500,sorted,2000,1 KB
QuickSort,500,sorted,64,64 B
BubbleSort,500,reverse_sorted,12,12 B
InsertionSort,500,reverse_sorted,12,12 B
SelectionSort,500,reverse_sorted,12,12 B
MergeSort,500,reverse_sorted,2000,1 KB
QuickSort,500,reverse_sorted,64,64 B
BubbleSort,500,nearly_sorted,12,12 B
InsertionSort,500,nearly_sorted,12,12 B
SelectionSort,500,nearly_sorted,12,12 B
MergeSort,500,nearly_sorted,2000,1 KB
QuickSort,500,nearly_sorted,64,64 B
BubbleSort,500,flat,12,12 B
InsertionSort,500,flat,12,12 B
SelectionSort,500,flat,12,12 B
MergeSort,500,flat,2000,1 KB
QuickSort,500,flat,64,64 B
BubbleSort,1000,random,12,12 B
InsertionSort,1000,random,12,12 B
SelectionSort,1000,random,12,12 B
MergeSort,1000,random,4000,3 KB
QuickSort,1000,random,72,72 B
BubbleSort,1000,sorted,12,12 B
InsertionSort,1000,sorted,12,12 B
SelectionSort,1000,sorted,12,12 B
MergeSort,1000,sorted,4000,3 KB
QuickSort,1000,sorted,72,72 B
BubbleSort,1000,reverse_sorted,12,12 B
InsertionSort,1000,reverse_sorted,12,12 B
SelectionSort,1000,reverse_sorted,12,12 B
MergeSort,1000,reverse_sorted,4000,3 KB
QuickSort,1000,reverse_sorted,72,72 B
BubbleSort,1000,nearly_sorted,12,12 B
InsertionSort,1000,nearly_sorted,12,12 B
SelectionSort,1000,nearly_sorted,12,12 B
MergeSort,1000,nearly_sorted,4000,3 KB
QuickSort,1000,nearly_sorted,72,72 B
BubbleSort,1000,flat,12,12 B
InsertionSort,1000,flat,12,12 B
SelectionSort,1000,flat,12,12 B
MergeSort,1000,flat,4000,3 KB
QuickSort,1000,flat,72,72 B
BubbleSort,5000,random,12,12 B
InsertionSort,5000,random,12,12 B
