Algoritm,N,Tip_Date,Secunde_Medie
BubbleSort,10,random,0.000000457
InsertionSort,10,random,0.000000155
SelectionSort,10,random,0.000000263
MergeSort,10,random,0.000000333
QuickSort,10,random,0.000000472
BubbleSort,10,sorted,0.000000101
InsertionSort,10,sorted,0.000000132
SelectionSort,10,sorted,0.000000185
MergeSort,10,sorted,0.000000282
QuickSort,10,sorted,0.000000304
BubbleSort,10,reverse_sorted,0.000000416
InsertionSort,10,reverse_sorted,0.000000085
SelectionSort,10,reverse_sorted,0.000000113
MergeSort,10,reverse_sorted,0.000000247
QuickSort,10,reverse_sorted,0.000000218
BubbleSort,10,nearly_sorted,0.000000167
InsertionSort,10,nearly_sorted,0.000000093
SelectionSort,10,nearly_sorted,0.000000163
MergeSort,10,nearly_sorted,0.000000248
QuickSort,10,nearly_sorted,0.000000239
BubbleSort,10,flat,0.000000329
InsertionSort,10,flat,0.000000161
SelectionSort,10,flat,0.000000318
MergeSort,10,flat,0.000000338
QuickSort,10,flat,0.000000326
BubbleSort,20,random,0.000001399
InsertionSort,20,random,0.000000411
SelectionSort,20,random,0.000000781
MergeSort,20,random,0.000000700
QuickSort,20,random,0.000000707
BubbleSort,20,sorted,0.000000159
InsertionSort,20,sorted,0.000000109
SelectionSort,20,sorted,0.000000373
MergeSort,20,sorted,0.000000316
QuickSort,20,sorted,0.000000342
BubbleSort,20,reverse_sorted,0.000001427
InsertionSort,20,reverse_sorted,0.000000235
SelectionSort,20,reverse_sorted,0.000000290
MergeSort,20,reverse_sorted,0.000000425
QuickSort,20,reverse_sorted,0.000000329
BubbleSort,20,nearly_sorted,0.000000417
InsertionSort,20,nearly_sorted,0.000000155
SelectionSort,20,nearly_sorted,0.000000311
MergeSort,20,nearly_sorted,0.000000531
QuickSort,20,nearly_sorted,0.000000442
BubbleSort,20,flat,0.000001522
InsertionSort,20,flat,0.000000299
SelectionSort,20,flat,0.000000629
MergeSort,20,flat,0.000000638
QuickSort,20,flat,0.000000634
BubbleSort,50,random,0.000008089
InsertionSort,50,random,0.000000969
SelectionSort,50,random,0.000002367
MergeSort,50,random,0.000002004
QuickSort,50,random,0.000001841
BubbleSort,50,sorted,0.000000188
InsertionSort,50,sorted,0.000000133
SelectionSort,50,sorted,0.000001526
MergeSort,50,sorted,0.000000582
QuickSort,50,sorted,0.000000817
BubbleSort,50,reverse_sorted,0.000009931
InsertionSort,50,reverse_sorted,0.000001124
SelectionSort,50,reverse_sorted,0.000001571
MergeSort,50,reverse_sorted,0.000000654
QuickSort,50,reverse_sorted,0.000001345
BubbleSort,50,nearly_sorted,0.000002114
InsertionSort,50,nearly_sorted,0.000000300
SelectionSort,50,nearly_sorted,0.000001754
MergeSort,50,nearly_sorted,0.000000845
QuickSort,50,nearly_sorted,0.000001059
BubbleSort,50,flat,0.000030425
InsertionSort,50,flat,0.000000877
SelectionSort,50,flat,0.000003918
MergeSort,50,flat,0.000001781
QuickSort,50,flat,0.000001394
BubbleSort,100,random,0.000027909
InsertionSort,100,random,0.000002297
SelectionSort,100,random,0.000008182
MergeSort,100,random,0.000003753
QuickSort,100,random,0.000004194
BubbleSort,100,sorted,0.000000203
InsertionSort,100,sorted,0.000000256
SelectionSort,100,sorted,0.000004375
MergeSort,100,sorted,0.000001030
QuickSort,100,sorted,0.000001775
BubbleSort,100,reverse_sorted,0.000038016
InsertionSort,100,reverse_sorted,0.000003339
SelectionSort,100,reverse_sorted,0.000005362
MergeSort,100,reverse_sorted,0.000001192
QuickSort,100,reverse_sorted,0.000001209
BubbleSort,100,nearly_sorted,0.000006693
InsertionSort,100,nearly_sorted,0.000001068
SelectionSort,100,nearly_sorted,0.000005630
MergeSort,100,nearly_sorted,0.000001693
QuickSort,100,nearly_sorted,0.000002863
BubbleSort,100,flat,0.000026485
InsertionSort,100,flat,0.000002819
SelectionSort,100,flat,0.000006815
MergeSort,100,flat,0.000003585
QuickSort,100,flat,0.000002263
BubbleSort,500,random,0.000614188
InsertionSort,500,random,0.000041567
SelectionSort,500,random,0.000097417
MergeSort,500,random,0.000021523
QuickSort,500,random,0.000026994
BubbleSort,500,sorted,0.000000359
InsertionSort,500,sorted,0.000000874
SelectionSort,500,sorted,0.000092149
MergeSort,500,sorted,0.000006139
QuickSort,500,sorted,0.000010951
BubbleSort,500,reverse_sorted,0.000899903
InsertionSort,500,reverse_sorted,0.000072878
SelectionSort,500,reverse_sorted,0.000085125
MergeSort,500,reverse_sorted,0.000005195
QuickSort,500,reverse_sorted,0.000012424
